5000_q1,10000_q1,25000_q1,50000_q1,5000_q2,10000_q2,25000_q2,50000_q2,5000_q3,10000_q3,25000_q3,50000_q3,5000_q4,10000_q4,25000_q4,50000_q4,5000_q5,10000_q5,25000_q5,50000_q5
1.06E-04,4.68E-05,1.99E-05,1.04E-05,8.60E-05,6.23E-05,2.00E-05,1.05E-05,5.66E-05,4.34E-05,1.90E-05,1.02E-05,1.39E-05,1.60E-05,7.60E-06,9.60E-06,2.45E-06,7.19E-07,3.46E-06,2.93E-06
8.82E-05,5.10E-05,2.02E-05,1.01E-05,7.54E-05,4.48E-05,2.00E-05,9.76E-06,3.34E-05,2.52E-05,1.50E-05,8.62E-06,2.03E-05,1.30E-05,0.000108759,9.11E-06,3.52E-06,7.74E-07,2.34E-06,1.42E-06
1.15E-04,4.91E-05,1.96E-05,9.99E-06,0.000103749,5.35E-05,2.02E-05,9.30E-06,3.84E-05,2.31E-05,1.28E-05,1.01E-05,1.56E-05,1.82E-05,1.50E-05,1.21E-05,1.27E-05,1.05E-06,1.72E-06,5.30E-06
1.02E-04,5.20E-05,2.09E-05,9.90E-06,0.00010062,4.80E-05,1.89E-05,1.09E-05,3.14E-05,5.13E-05,2.17E-05,8.56E-06,2.50E-05,7.51E-06,9.33E-06,4.51E-06,7.07E-07,2.62E-06,2.20E-06,1.57E-06
1.00E-04,4.82E-05,1.85E-05,9.79E-06,9.67E-05,5.86E-05,2.12E-05,1.01E-05,0.000177875,4.19E-05,1.82E-05,9.91E-06,1.36E-05,8.79E-06,6.82E-06,6.46E-06,3.98E-06,3.60E-07,9.59E-07,1.82E-06
1.23E-04,5.24E-05,1.95E-05,1.04E-05,8.59E-05,4.96E-05,2.16E-05,1.04E-05,4.82E-05,2.99E-05,1.24E-05,1.03E-05,1.53E-05,1.33E-05,4.40E-06,8.75E-06,4.65E-06,6.01E-06,1.56E-06,1.33E-06
1.05E-04,5.18E-05,1.87E-05,9.61E-06,0.00011568,4.55E-05,1.73E-05,9.26E-06,2.24E-05,3.08E-05,1.67E-05,9.99E-06,3.40E-05,3.23E-05,9.85E-06,7.52E-06,1.65E-06,2.70E-06,2.52E-06,9.03E-07
1.15E-04,5.07E-05,2.04E-05,1.00E-05,9.21E-05,4.44E-05,2.02E-05,9.44E-06,3.40E-05,2.86E-05,9.27E-06,9.14E-06,2.49E-05,2.51E-05,2.26E-05,7.14E-06,3.42E-06,4.45E-06,1.28E-06,1.07E-05
9.83E-05,4.68E-05,1.95E-05,9.64E-06,8.51E-05,4.71E-05,2.19E-05,9.33E-06,4.15E-05,2.97E-05,1.46E-05,8.78E-06,2.16E-05,5.37E-05,1.16E-05,8.35E-06,3.51E-06,2.68E-06,1.13E-06,3.18E-06
1.01E-04,4.87E-05,2.08E-05,9.65E-06,9.93E-05,4.59E-05,1.86E-05,1.02E-05,0.000173792,2.34E-05,1.68E-05,1.57E-05,2.48E-05,1.75E-05,1.22E-05,1.19E-05,1.36E-06,2.59E-06,9.90E-07,3.61E-06
9.96E-05,4.77E-05,1.96E-05,9.98E-06,7.88E-05,4.19E-05,2.00E-05,1.00E-05,3.93E-05,2.25E-05,1.07E-05,9.99E-06,7.23E-06,1.14E-05,1.08E-05,8.16E-06,2.73E-06,1.59E-06,6.45E-06,1.04E-05
1.03E-04,4.69E-05,1.94E-05,9.95E-06,0.000510874,5.50E-05,1.93E-05,9.37E-06,0.000115062,3.45E-05,2.52E-05,8.75E-06,8.87E-06,1.47E-05,1.26E-05,7.02E-06,1.06E-06,5.30E-07,1.89E-06,2.19E-06
9.61E-05,4.86E-05,1.99E-05,1.00E-05,8.97E-05,4.25E-05,2.05E-05,1.06E-05,0.000224851,2.55E-05,1.49E-05,1.01E-05,4.08E-05,2.16E-05,9.33E-06,4.21E-06,2.45E-06,2.05E-06,5.25E-06,2.00E-06
9.96E-05,5.15E-05,2.01E-05,1.01E-05,7.72E-05,4.65E-05,2.07E-05,9.26E-06,3.45E-05,5.69E-05,1.37E-05,7.57E-06,1.00E-05,2.63E-05,2.20E-05,1.20E-05,6.96E-06,2.01E-06,5.16E-06,2.99E-06
9.69E-05,4.73E-05,2.03E-05,1.03E-05,9.78E-05,4.48E-05,2.04E-05,1.04E-05,2.72E-05,2.02E-05,1.55E-05,1.17E-05,2.04E-05,3.81E-05,1.88E-05,5.83E-06,1.81E-06,1.01E-06,1.71E-06,7.27E-07
9.72E-05,5.48E-05,2.11E-05,9.47E-06,8.35E-05,5.32E-05,2.12E-05,1.03E-05,3.00E-05,2.10E-05,2.25E-05,1.25E-05,2.76E-05,5.72E-05,6.93E-06,1.16E-05,2.30E-06,1.27E-06,1.40E-06,4.64E-05
1.02E-04,5.10E-05,1.93E-05,1.03E-05,9.76E-05,4.97E-05,2.04E-05,1.04E-05,5.30E-05,1.53E-05,2.08E-05,9.92E-06,2.52E-05,6.13E-06,1.03E-05,7.70E-06,1.89E-05,2.50E-06,9.28E-06,2.39E-06
9.89E-05,4.94E-05,1.97E-05,9.39E-06,6.41E-05,4.90E-05,2.20E-05,1.01E-05,0.000105574,1.98E-05,1.67E-05,7.77E-06,9.60E-06,1.85E-05,2.15E-05,6.23E-06,1.86E-05,2.86E-06,4.04E-06,1.15E-06
9.64E-05,5.13E-05,2.04E-05,1.04E-05,0.000100601,5.08E-05,2.29E-05,1.07E-05,0.001367713,1.63E-05,2.12E-05,6.30E-06,1.79E-05,5.30E-06,9.55E-06,8.80E-06,1.06E-05,1.31E-06,1.47E-06,2.11E-06
1.06E-04,5.08E-05,2.00E-05,9.91E-06,8.18E-05,4.49E-05,1.93E-05,1.04E-05,0.000507459,3.31E-05,1.71E-05,7.44E-06,4.99E-06,1.53E-05,6.95E-06,6.04E-06,2.56E-06,5.83E-06,1.72E-06,4.74E-06
9.84E-05,5.04E-05,1.94E-05,1.02E-05,7.24E-05,4.54E-05,2.01E-05,1.02E-05,5.13E-05,4.27E-05,1.93E-05,6.77E-06,2.19E-05,1.89E-05,1.04E-05,6.18E-06,8.80E-06,1.47E-06,6.22E-06,2.34E-06
9.17E-05,4.93E-05,1.98E-05,9.66E-06,0.000124323,4.87E-05,1.74E-05,1.05E-05,2.75E-05,3.39E-05,1.15E-05,1.25E-05,8.69E-06,5.80E-06,5.31E-06,7.06E-06,3.70E-06,1.59E-06,3.28E-06,3.53E-06
9.53E-05,4.75E-05,2.03E-05,9.93E-06,9.51E-05,5.22E-05,1.92E-05,9.27E-06,1.53E-05,1.96E-05,1.32E-05,8.21E-06,2.19E-05,1.02E-05,1.01E-05,6.22E-06,3.69E-06,7.89E-07,9.48E-07,4.49E-06
1.02E-04,4.87E-05,1.92E-05,9.83E-06,8.46E-05,5.21E-05,1.98E-05,9.18E-06,4.18E-05,2.58E-05,1.82E-05,9.64E-06,5.09E-05,1.22E-05,2.02E-05,6.71E-06,5.15E-05,7.07E-07,5.25E-06,8.36E-06
1.01E-04,4.84E-05,2.04E-05,9.67E-06,8.16E-05,5.35E-05,2.03E-05,9.42E-06,7.01E-05,2.17E-05,1.90E-05,8.98E-06,1.15E-05,1.06E-05,2.13E-05,1.10E-05,6.54E-06,4.02E-06,2.62E-06,1.51E-05
9.96E-05,5.10E-05,2.02E-05,9.88E-06,8.50E-05,4.55E-05,1.87E-05,9.70E-06,2.22E-05,1.65E-05,2.04E-05,8.04E-06,3.76E-05,1.79E-05,7.37E-06,1.54E-05,8.82E-07,7.46E-07,2.55E-06,5.11E-07
9.76E-05,5.03E-05,2.00E-05,1.02E-05,8.59E-05,4.85E-05,1.98E-05,1.03E-05,2.85E-05,3.93E-05,1.22E-05,8.04E-06,4.78E-05,1.14E-05,5.37E-06,1.22E-05,7.88E-06,1.61E-05,5.82E-07,2.41E-06
9.30E-05,4.69E-05,1.90E-05,1.00E-05,8.65E-05,5.62E-05,1.90E-05,9.24E-06,3.30E-05,1.96E-05,2.18E-05,1.14E-05,8.17E-06,5.37E-06,7.37E-06,1.45E-05,3.43E-06,3.83E-06,5.20E-06,1.44E-06
1.04E-04,5.17E-05,1.97E-05,9.69E-06,0.000100852,5.02E-05,2.12E-05,9.77E-06,4.37E-05,4.38E-05,1.21E-05,8.15E-06,7.79E-06,6.52E-06,2.01E-05,1.21E-05,6.89E-07,1.73E-05,1.15E-06,2.08E-05
9.04E-05,4.70E-05,2.00E-05,9.77E-06,0.000102688,6.35E-05,2.07E-05,9.97E-06,0.00013828,5.73E-05,1.70E-05,1.05E-05,3.27E-05,2.80E-05,8.78E-06,1.36E-05,2.24E-06,6.07E-06,1.40E-06,3.30E-06
9.30E-05,5.08E-05,1.96E-05,1.03E-05,7.27E-05,4.93E-05,2.08E-05,1.02E-05,3.34E-05,1.59E-05,2.09E-05,1.01E-05,5.62E-06,8.87E-06,7.47E-06,9.74E-06,2.03E-06,1.39E-06,1.34E-06,2.70E-06
1.06E-04,5.32E-05,1.93E-05,9.98E-06,8.10E-05,4.30E-05,1.94E-05,1.02E-05,1.92E-05,4.85E-05,1.57E-05,9.40E-06,7.54E-05,1.39E-05,2.08E-05,1.13E-05,3.42E-06,1.80E-06,2.01E-06,7.13E-06
9.89E-05,5.18E-05,2.03E-05,9.82E-06,7.75E-05,5.26E-05,2.32E-05,9.50E-06,7.14E-05,2.44E-05,2.47E-05,9.01E-06,1.42E-05,1.32E-05,2.81E-05,8.01E-06,1.19E-06,3.44E-06,1.15E-06,1.68E-05
1.16E-04,5.12E-05,2.08E-05,1.01E-05,7.89E-05,5.58E-05,2.01E-05,1.10E-05,0.000264352,2.82E-05,1.75E-05,1.03E-05,2.48E-05,2.41E-05,1.68E-05,1.05E-05,1.40E-06,2.49E-06,7.02E-07,1.48E-06
9.64E-05,4.94E-05,1.96E-05,9.95E-06,0.000102011,4.79E-05,1.91E-05,1.03E-05,3.90E-05,5.53E-05,2.64E-05,9.70E-06,2.50E-05,2.03E-05,1.14E-05,7.44E-06,4.94E-06,1.13E-05,1.26E-06,2.32E-06
9.75E-05,4.86E-05,1.95E-05,1.01E-05,0.000802921,6.01E-05,1.97E-05,9.85E-06,3.44E-05,2.92E-05,1.67E-05,9.52E-06,0.000167121,8.55E-06,1.52E-05,1.23E-05,1.86E-05,2.66E-06,2.93E-06,9.45E-07
9.65E-05,4.78E-05,2.01E-05,9.73E-06,0.000101547,4.57E-05,1.84E-05,1.04E-05,3.77E-05,0.000104211,1.77E-05,8.74E-06,1.66E-05,1.94E-05,5.95E-06,1.02E-05,4.27E-06,9.50E-06,2.81E-06,1.17E-06
1.03E-04,5.08E-05,2.04E-05,1.01E-05,0.000104748,4.57E-05,2.03E-05,1.11E-05,2.29E-05,1.53E-05,1.33E-05,9.96E-06,2.04E-05,9.79E-06,1.33E-05,6.12E-06,1.19E-06,3.74E-05,6.31E-06,1.80E-06
9.63E-05,5.01E-05,1.96E-05,1.06E-05,9.53E-05,4.51E-05,2.15E-05,8.68E-06,2.78E-05,2.55E-05,2.19E-05,8.97E-06,1.01E-05,1.20E-05,1.01E-05,6.62E-06,1.21E-05,4.28E-06,3.77E-06,1.18E-06
1.05E-04,5.30E-05,2.07E-05,9.84E-06,9.12E-05,4.38E-05,2.17E-05,1.04E-05,2.53E-05,3.90E-05,1.41E-05,8.37E-06,7.43E-06,1.74E-05,1.08E-05,1.04E-05,4.74E-07,2.24E-06,1.45E-06,1.44E-06
9.81E-05,5.11E-05,2.00E-05,9.44E-06,7.57E-05,4.95E-05,2.08E-05,9.78E-06,3.92E-05,0.000105155,1.07E-05,6.23E-06,1.20E-05,1.41E-05,1.35E-05,1.05E-05,2.81E-06,4.21E-06,1.47E-06,1.42E-05
1.00E-04,5.18E-05,2.00E-05,1.06E-05,0.000143093,5.20E-05,1.93E-05,9.96E-06,3.64E-05,2.39E-05,2.00E-05,8.91E-06,1.24E-05,1.46E-05,1.05E-05,5.62E-06,3.10E-06,1.47E-06,3.06E-06,2.21E-06
9.95E-05,4.99E-05,1.92E-05,1.02E-05,0.000107522,5.14E-05,2.20E-05,9.85E-06,3.98E-05,2.30E-05,1.94E-05,6.90E-06,3.10E-05,3.17E-05,9.55E-06,9.23E-06,0.0008234,8.95E-07,1.86E-06,1.42E-06
9.48E-05,5.17E-05,2.13E-05,9.96E-06,9.18E-05,5.08E-05,2.02E-05,1.07E-05,2.46E-05,1.93E-05,1.79E-05,8.71E-06,0.000105197,2.73E-05,6.91E-06,4.54E-06,1.07E-05,8.13E-07,4.00E-07,1.23E-06
1.01E-04,4.92E-05,2.02E-05,1.02E-05,0.000140604,5.99E-05,1.95E-05,1.02E-05,0.000137589,8.41E-05,1.48E-05,8.74E-06,2.01E-05,0.00014083,1.48E-05,6.15E-06,5.59E-07,5.69E-06,9.98E-07,3.45E-06
9.26E-05,5.18E-05,2.05E-05,1.00E-05,7.44E-05,4.95E-05,1.92E-05,9.80E-06,4.86E-05,2.32E-05,1.21E-05,8.61E-06,6.96E-05,5.78E-06,2.00E-05,5.10E-06,3.69E-06,3.09E-06,3.31E-06,1.64E-06
1.01E-04,4.60E-05,1.95E-05,1.05E-05,8.59E-05,4.90E-05,2.15E-05,9.69E-06,2.91E-05,2.57E-05,1.71E-05,1.10E-05,4.33E-05,2.55E-05,6.88E-06,5.35E-06,2.40E-06,7.61E-07,1.38E-06,1.62E-06
1.04E-04,4.95E-05,2.06E-05,9.98E-06,0.000116215,8.21E-05,1.97E-05,1.02E-05,3.12E-05,2.98E-05,8.61E-06,1.46E-05,1.17E-05,1.00E-05,4.98E-05,7.21E-06,4.48E-05,1.92E-06,4.20E-06,3.42E-06
9.93E-05,4.92E-05,1.95E-05,1.03E-05,0.000244655,4.74E-05,1.94E-05,1.06E-05,2.77E-05,1.64E-05,2.10E-05,7.38E-06,1.12E-05,2.84E-05,1.31E-05,9.29E-06,3.67E-06,1.19E-06,1.81E-06,2.83E-06
