large,medium,small
9.63E-07,5.94E-08,4.49E-09
1.06E-06,5.37E-08,8.31E-09
9.06E-07,8.95E-08,2.25E-08
2.37E-06,1.08E-07,2.86E-09
2.21E-06,5.54E-08,8.30E-09
9.68E-07,1.29E-07,2.58E-09
1.00E-06,1.01E-07,6.12E-08
7.41E-07,7.27E-08,2.22E-08
1.73E-06,5.99E-08,1.89E-08
9.71E-07,1.28E-07,3.38E-09
1.20E-06,5.89E-08,1.31E-08
1.19E-06,1.08E-07,1.46E-08
9.98E-07,9.84E-08,1.80E-08
1.62E-06,1.77E-07,8.20E-09
1.84E-06,5.95E-08,6.16E-09
1.04E-06,8.33E-08,3.76E-09
1.59E-06,1.17E-07,4.29E-09
1.43E-06,3.84E-07,1.49E-09
2.80E-05,1.34E-07,6.36E-09
9.02E-07,9.60E-08,5.55E-09
8.08E-07,6.46E-08,4.31E-09
9.51E-07,8.40E-08,3.12E-09
1.08E-06,7.58E-08,3.61E-09
1.58E-06,6.46E-08,2.71E-09
1.13E-06,7.12E-08,1.78E-08
1.22E-06,9.02E-08,4.04E-09
1.71E-06,4.88E-08,1.20E-08
3.58E-06,1.63E-07,5.70E-09
9.48E-07,7.30E-08,1.68E-08
9.73E-07,7.27E-08,4.65E-09
1.20E-06,2.51E-07,2.75E-09
1.62E-06,4.65E-08,6.20E-09
1.23E-06,7.83E-08,2.80E-08
1.08E-06,1.44E-07,6.58E-09
3.49E-06,1.25E-07,5.83E-09
8.37E-07,8.61E-08,1.41E-08
8.78E-07,5.51E-08,1.11E-08
1.23E-06,8.47E-08,2.69E-09
3.04E-06,3.66E-08,2.15E-09
1.42E-06,8.35E-08,7.35E-09
1.53E-06,1.26E-06,1.87E-08
1.08E-06,6.21E-08,4.09E-09
9.65E-07,5.97E-08,5.55E-09
1.68E-06,1.52E-07,5.56E-09
1.53E-06,1.15E-07,4.79E-09
4.96E-06,8.21E-08,4.66E-08
1.16E-06,7.93E-08,4.36E-09
1.42E-06,5.66E-08,5.18E-09
2.17E-06,4.40E-07,1.76E-08
3.19E-06,1.13E-07,1.17E-08
1.62E-06,3.86E-08,7.82E-09
1.21E-06,7.07E-08,2.15E-08
4.81E-06,2.02E-07,3.37E-09
1.48E-06,9.02E-08,1.56E-08
1.63E-06,7.88E-08,6.62E-09
1.03E-06,6.58E-08,5.11E-09
2.33E-06,6.34E-08,7.72E-09
1.35E-06,4.91E-08,9.79E-10
2.06E-06,7.55E-08,4.76E-09
2.14E-06,8.36E-08,2.62E-09
1.13E-06,6.06E-08,1.46E-08
7.80E-07,7.19E-08,2.56E-09
4.53E-06,9.47E-08,1.49E-08
2.11E-06,4.43E-08,1.16E-09
1.81E-06,4.37E-08,4.83E-09
8.90E-07,1.15E-05,3.15E-09
8.88E-07,8.38E-08,1.34E-08
9.03E-07,2.53E-06,1.01E-08
2.12E-06,1.07E-07,3.14E-09
1.09E-06,7.91E-08,4.43E-09
2.27E-06,2.08E-07,3.60E-09
5.19E-06,1.42E-07,4.19E-09
1.54E-06,8.33E-08,3.75E-09
2.63E-06,9.48E-08,4.95E-09
1.25E-06,6.76E-08,1.39E-08
9.78E-07,5.39E-08,1.32E-08
1.56E-06,7.47E-08,5.48E-09
8.45E-07,2.51E-07,1.93E-09
8.53E-07,1.28E-07,1.89E-08
8.94E-07,2.08E-07,5.93E-09
1.46E-06,8.63E-08,3.64E-09
1.98E-06,8.30E-08,2.30E-09
1.18E-06,7.74E-08,8.90E-09
1.08E-06,1.41E-07,7.62E-09
1.26E-06,7.66E-08,3.95E-09
2.45E-06,1.12E-07,5.86E-09
1.01E-06,7.56E-08,6.59E-08
9.84E-07,9.24E-08,4.94E-10
1.63E-06,2.36E-07,9.78E-09
1.37E-06,1.00E-07,2.18E-09
8.92E-07,4.89E-08,3.30E-09
1.35E-06,7.12E-08,1.93E-09
2.67E-06,7.04E-08,2.87E-09
1.97E-06,7.24E-08,1.21E-09
8.97E-07,1.20E-07,2.67E-08
8.49E-07,2.21E-07,8.55E-09
9.81E-07,2.57E-07,4.49E-09
1.11E-06,7.86E-08,4.72E-09
9.20E-07,2.13E-07,5.87E-09
1.05E-06,5.36E-08,1.59E-09